,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
6194,18,1,0,3.6,95,94,159,18,650.0,1750
6195,11,0,1,4.1,335,590,980,45,1800.0,5004
6196,12,1,0,3.9,224,508,7293,12,950.0,5004
6197,30,1,0,4.2,1764,304,7293,42,750.0,5004
6198,5,0,1,4.2,175,351,311,82,3000.0,5004
6199,19,1,1,4.1,294,351,7293,19,1000.0,479
6200,13,0,1,3.9,747,508,324,21,1500.0,5004
6201,25,1,0,4.2,115,590,128,60,500.0,5004
6202,10,1,0,4.1,54,441,7293,10,400.0,5004
6203,6,0,0,4.0,108,69,7293,776,550.0,5004
6204,12,0,0,4.2,115,473,302,12,1000.0,5004
6205,13,0,0,3.9,191,304,357,151,600.0,5004
6206,5,0,0,4.0,224,441,7293,5,700.0,5004
6208,4,0,0,4.0,58,473,7293,4,2000.0,5004
6209,12,1,0,3.7,111,69,7293,776,550.0,5004
6210,16,1,1,3.8,203,351,7293,43,1200.0,5004
6211,16,0,0,2.7,402,590,324,776,1000.0,5004
6212,5,0,0,4.2,697,304,5221,359,300.0,5004
6214,15,1,0,3.9,158,94,7293,15,1300.0,5004
6215,11,1,0,3.9,87,473,7293,13,500.0,5004
6217,22,0,0,3.9,234,22,328,22,1000.0,5004
6218,11,1,0,3.6,82,166,7293,776,500.0,5004
6219,19,1,1,3.8,198,590,7293,19,1600.0,5004
6220,12,1,0,3.0,74,166,7293,1136,500.0,4565
6222,12,0,1,4.2,271,590,311,14,3000.0,5004
6223,10,0,1,3.7,91,443,128,10,1000.0,5004
6225,6,0,0,3.6,60,69,7293,77,450.0,5004
6226,15,1,0,4.1,119,351,7293,15,1000.0,5004
6227,11,1,1,3.1,58,304,5221,5,400.0,5004
6228,20,0,0,2.5,433,141,7293,36,650.0,5004
6229,10,0,0,4.0,101,351,7293,210,550.0,5004
6230,31,0,0,4.1,104,443,40,10,1200.0,5004
6231,14,0,0,3.1,120,443,980,59,1200.0,5004
6232,14,0,0,2.8,253,94,7293,776,1000.0,5004
6233,13,0,0,3.7,293,441,324,70,1000.0,5004
6235,9,0,0,4.0,93,441,298,151,2000.0,5004
6238,8,0,0,4.0,62,473,298,151,1500.0,5004
6240,38,1,0,3.9,184,166,7293,7,400.0,5004
6241,19,1,0,3.8,59,141,102,19,300.0,5004
6242,10,0,1,3.8,73,166,357,58,1200.0,5004
6243,6,0,0,4.1,117,590,311,6,3000.0,5004
6244,22,1,0,3.9,67,508,16,22,500.0,5004
6245,11,1,0,4.2,382,473,2321,16,500.0,5004
6246,9,0,0,3.5,53,443,980,9,1800.0,5004
6247,9,0,0,3.9,72,443,298,9,2500.0,5004
6248,10,0,0,3.9,134,304,7293,10,800.0,5004
6249,6,0,0,4.1,168,590,311,210,2500.0,5004
6250,24,1,0,2.6,307,166,7293,31,700.0,5004
6252,10,0,0,3.9,89,304,7293,10,1400.0,5004
6253,12,1,0,2.8,296,141,7293,167,600.0,5004
6255,16,1,0,3.4,122,441,2321,29,600.0,5004
6256,12,0,1,3.9,315,590,2321,72,800.0,5004
6258,5,0,0,3.7,52,351,7293,77,550.0,5004
6259,43,1,0,3.8,262,351,7293,117,850.0,5004
6260,11,0,1,4.0,98,473,298,19,2400.0,5004
6261,12,1,0,3.3,261,166,7293,776,500.0,5004
6262,16,0,1,3.8,108,473,357,776,1400.0,5004
6264,10,0,1,3.9,100,441,7293,1136,1900.0,5004
6265,15,0,0,3.0,107,590,7293,59,800.0,5004
6266,20,0,0,3.7,145,351,302,20,1000.0,5004
6270,6,0,0,4.1,259,590,980,49,1200.0,5004
6271,13,0,1,4.2,258,590,980,13,1500.0,5004
6274,41,1,0,4.0,132,441,134,46,250.0,5004
6276,19,1,0,3.8,96,473,2321,19,600.0,5004
6279,5,0,0,3.7,57,304,7293,776,700.0,5004
6280,10,0,0,3.8,67,351,7293,359,500.0,5004
6283,5,0,1,4.3,164,351,311,41,3000.0,5004
6286,10,0,0,4.0,209,441,7293,162,500.0,5004
6288,5,0,0,3.8,150,508,7293,82,800.0,5004
6290,12,1,0,3.5,140,508,7293,1136,600.0,5004
6296,19,0,1,3.6,277,304,980,22,800.0,5004
6300,5,0,0,1.8,224,508,7293,59,1200.0,5004
6301,8,0,0,2.9,46,166,7293,33,550.0,5004
6305,11,1,1,3.8,194,304,7293,11,800.0,5004
6306,6,0,0,3.9,119,94,980,22,800.0,5004
6309,10,0,0,3.8,52,351,7293,38,1200.0,5004
6312,42,0,0,3.7,32,141,7293,58,800.0,5004
6313,5,0,0,2.2,48,441,7293,45,600.0,5004
6318,10,0,0,3.4,10,590,5221,137,350.0,5004
6332,5,0,0,3.8,217,443,7293,5,2000.0,5004
6334,19,1,0,3.8,260,590,2321,273,700.0,5004
6336,10,1,0,3.4,50,508,7293,10,600.0,5004
6338,6,0,0,3.7,82,590,311,37,2500.0,5004
6339,14,1,0,4.1,125,590,302,13,900.0,5004
6340,10,0,0,4.1,121,351,7293,776,600.0,5004
6341,13,1,1,2.2,406,590,7293,31,1000.0,5004
6343,30,1,0,4.4,1087,443,69,30,600.0,5004
6344,10,1,0,4.0,867,443,5221,12,400.0,5004
6345,5,0,0,4.5,174,351,5221,12,250.0,5004
6346,12,1,0,4.4,222,590,5221,12,700.0,2552
6347,10,0,0,4.1,356,351,5221,82,400.0,5004
6348,12,0,0,3.6,221,141,5221,37,300.0,5004
6349,10,0,0,3.9,80,508,5221,210,500.0,5004
6350,5,0,0,4.0,1217,508,5221,359,200.0,5004
6351,13,1,0,3.9,101,473,5221,1136,150.0,5004
6352,33,1,0,4.1,41,508,1074,122,150.0,2578
6353,4,0,0,4.1,274,351,5221,359,150.0,5004
6354,44,0,0,4.0,1443,590,143,24,500.0,5004
6355,7,1,1,4.1,94,508,5221,4,300.0,6
6356,42,1,0,4.3,284,304,5221,12,500.0,5004
6357,5,0,0,4.0,102,351,5221,7,300.0,5004
6359,11,1,0,4.1,159,304,5221,93,300.0,5004
6360,20,1,0,4.0,101,304,5221,27,150.0,5004
6361,5,0,0,4.0,89,94,5221,9,300.0,5004
6362,19,1,0,4.1,204,473,5221,15,250.0,5004
6367,10,0,0,2.7,77,590,5221,76,500.0,5004
6368,6,0,0,3.9,75,141,5221,359,150.0,5004
6369,15,0,0,3.6,52,351,96,44,300.0,5004
6370,11,1,0,4.0,787,351,5221,11,400.0,5004
6371,13,1,0,3.9,113,166,5221,14,250.0,5004
6372,34,1,0,4.0,78,141,31,17,350.0,5004
6373,55,1,0,3.9,117,590,5221,106,800.0,5004
6376,33,1,0,3.8,106,441,5221,42,200.0,5004
6383,6,0,0,3.0,33,141,5221,31,400.0,5004
6384,4,0,0,3.2,57,443,5221,24,350.0,5004
6385,14,1,0,3.9,55,304,5221,34,400.0,5004
6386,10,1,0,3.6,79,441,5221,36,500.0,5004
6391,10,0,0,3.8,95,508,5221,150,500.0,5004
6392,5,0,0,3.9,77,590,5221,359,200.0,5004
6402,23,1,0,3.5,62,508,5221,69,400.0,5004
6405,7,0,0,3.7,70,473,5221,7,500.0,5004
6408,17,1,0,3.1,163,508,5221,17,350.0,5004
6409,8,1,0,3.8,170,166,5221,78,250.0,5004
6412,10,1,0,3.9,454,441,5221,12,400.0,1174
6416,54,1,0,3.9,252,441,5221,54,500.0,1017
6417,25,0,0,3.7,58,508,5221,103,250.0,5004
6418,13,1,0,3.2,46,473,5221,1136,300.0,5004
6423,27,0,0,3.7,160,304,5221,167,300.0,5004
6452,12,0,0,4.1,399,69,5221,12,300.0,5004
6497,6,0,0,3.8,38,141,5221,6,300.0,5004
6502,10,0,0,3.8,41,441,5221,46,100.0,5004
6523,6,1,0,3.8,113,441,1074,3,500.0,5004
